Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
119,6,2.2,4,1,Iris-versicolor
120,5.8,2.6,4,1.2,Iris-versicolor
121,6.3,2.5,4.9,1.5,Iris-versicolor
122,5.4,3.7,1.5,0.2,Iris-setosa
123,6,2.7,5.1,1.6,Iris-versicolor
124,6.9,3.1,5.4,2.1,Iris-virginica
125,5,3,1.6,0.2,Iris-setosa
126,5.7,2.6,3.5,1,Iris-versicolor
127,6.1,3,4.6,1.4,Iris-versicolor
128,5.7,2.8,4.5,1.3,Iris-versicolor
129,6,3.4,4.5,1.6,Iris-versicolor
130,6.3,2.3,4.4,1.3,Iris-versicolor
131,5.2,3.4,1.4,0.2,Iris-setosa
132,7.7,3,6.1,2.3,Iris-virginica
133,6.5,2.8,4.6,1.5,Iris-versicolor
134,5.2,2.7,3.9,1.4,Iris-versicolor
135,6.6,3,4.4,1.4,Iris-versicolor
136,4.5,2.3,1.3,0.3,Iris-setosa
137,7.7,2.6,6.9,2.3,Iris-virginica
138,5,2.3,3.3,1,Iris-versicolor
139,5.5,2.6,4.4,1.2,Iris-versicolor
140,7.4,2.8,6.1,1.9,Iris-virginica
141,4.7,3.2,1.6,0.2,Iris-setosa
142,6.1,3,4.9,1.8,Iris-virginica
143,5.4,3.9,1.3,0.4,Iris-setosa
144,5,3.4,1.6,0.4,Iris-setosa
145,6.7,2.5,5.8,1.8,Iris-virginica
146,5.7,4.4,1.5,0.4,Iris-setosa
147,4.8,3.1,1.6,0.2,Iris-setosa
148,5.7,2.8,4.1,1.3,Iris-versicolor
149,7.7,2.8,6.7,2,Iris-virginica
150,6.7,3.1,5.6,2.4,Iris-virginica
